%<X-coord>,<Y-coord>,<Polarization>,<wavelength>,<type>,<deviceID>,<comment>
4811.65,5871.45,TE,1550,Xu,APGw500p312c18_39,no commment
4731.65,5871.45,TE,1550,Xu,APGw500p312c16_40,no commment
5451.65,5571.45,TE,1550,Xu,APGw505p318c20_41,no commment
5371.65,5571.45,TE,1550,Xu,APGw505p318c18_42,no commment
5291.65,5571.45,TE,1550,Xu,APGw505p318c16_43,no commment
5211.65,5571.45,TE,1550,Xu,APGw505p318c14_44,no commment
5131.65,5571.45,TE,1550,Xu,APGw505p312c28_45,no commment
5051.65,5571.45,TE,1550,Xu,APGw505p312c24_46,no commment
4971.65,5571.45,TE,1550,Xu,APGw505p312c22_47,no commment
4891.65,5571.45,TE,1550,Xu,APGw505p312c20_48,no commment
4811.65,5571.45,TE,1550,Xu,APGw505p312c18_49,no commment
4731.65,5571.45,TE,1550,Xu,APGw505p312c16_50,no commment
5451.65,6171.45,TE,1550,Xu,APGw495p318c20_51,no commment
5371.65,6171.45,TE,1550,Xu,APGw495p318c18_52,no commment
5291.65,6171.45,TE,1550,Xu,APGw495p318c16_53,no commment
5211.65,6171.45,TE,1550,Xu,APGw495p318c14_54,no commment
5131.65,6171.45,TE,1550,Xu,APGw495p312c28_55,no commment
5051.65,6171.45,TE,1550,Xu,APGw495p312c24_56,no commment
4971.65,6171.45,TE,1550,Xu,APGw495p312c22_57,no commment
4891.65,6171.45,TE,1550,Xu,APGw495p312c20_58,no commment
4811.65,6171.45,TE,1550,Xu,APGw495p312c18_59,no commment
4731.65,6171.45,TE,1550,Xu,APGw495p312c16_60,no commment
5373.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM2_61,no commment
5373.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM2_62,no commment
5453.65,5260.25,TE,1550,badLabel,badlabel_TM1550_Xu_TETM2_63,no commment
5453.65,5387.25,TE,1550,badLabel,badlabel_TE1550_Xu_TETM2_64,no commment
